,starttime,stoptime,start station id,end station id
357,9/1/2015 01:13:34,9/1/2015 01:19:54,478,388
358,9/1/2015 01:14:42,9/1/2015 01:17:07,345,369
359,9/1/2015 01:14:41,9/1/2015 01:30:39,3087,410
360,9/1/2015 01:15:36,9/1/2015 01:27:41,173,2022
361,9/1/2015 01:15:39,9/1/2015 01:27:43,173,2022
362,9/1/2015 01:15:48,9/1/2015 01:19:20,334,509
363,9/1/2015 01:15:49,9/1/2015 01:22:24,382,433
364,9/1/2015 01:16:08,9/1/2015 01:24:55,481,3110
365,9/1/2015 01:16:10,9/1/2015 01:22:09,242,390
366,9/1/2015 01:16:12,9/1/2015 01:24:58,481,3110
367,9/1/2015 01:16:16,9/1/2015 01:29:57,252,531
368,9/1/2015 01:16:46,9/1/2015 01:31:58,168,519
369,9/1/2015 01:16:54,9/1/2015 01:38:40,325,252
370,9/1/2015 01:17:10,9/1/2015 01:38:43,325,252
371,9/1/2015 01:17:23,9/1/2015 01:29:14,293,462
372,9/1/2015 01:17:26,9/1/2015 01:23:20,367,160
373,9/1/2015 01:17:31,9/1/2015 01:20:00,391,216
374,9/1/2015 01:18:24,9/1/2015 01:26:28,326,161
375,9/1/2015 01:18:37,9/1/2015 01:38:44,325,252
376,9/1/2015 01:19:14,9/1/2015 01:23:57,326,428
377,9/1/2015 01:19:22,9/1/2015 01:42:10,225,480
378,9/1/2015 01:19:47,9/1/2015 01:24:43,3105,3112
379,9/1/2015 01:20:12,9/1/2015 01:24:34,127,284
380,9/1/2015 01:20:35,9/1/2015 01:34:49,357,161
381,9/1/2015 01:20:42,9/1/2015 01:37:43,528,356
382,9/1/2015 01:20:47,9/1/2015 01:25:09,472,536
383,9/1/2015 01:20:52,9/1/2015 01:35:58,488,305
384,9/1/2015 01:20:53,9/1/2015 01:41:20,326,334
385,9/1/2015 01:20:57,9/1/2015 01:31:03,380,488
386,9/1/2015 01:22:15,9/1/2015 01:38:49,465,522
387,9/1/2015 01:22:17,9/1/2015 01:38:56,465,522
388,9/1/2015 01:23:33,9/1/2015 01:52:31,380,312
389,9/1/2015 01:23:33,9/1/2015 01:53:36,380,312
390,9/1/2015 01:23:57,9/1/2015 01:30:23,521,458
391,9/1/2015 01:24:26,9/1/2015 01:30:05,473,445
392,9/1/2015 01:25:19,9/1/2015 01:28:37,3086,3087
393,9/1/2015 01:26:08,9/1/2015 01:29:43,325,2003
394,9/1/2015 01:26:10,9/1/2015 01:29:01,161,348
395,9/1/2015 01:26:40,9/1/2015 01:41:20,284,518
396,9/1/2015 01:27:37,9/1/2015 01:35:21,3101,3117
397,9/1/2015 01:27:58,9/1/2015 01:39:27,3074,282
398,9/1/2015 01:28:15,9/1/2015 01:36:43,479,499
399,9/1/2015 01:29:32,9/1/2015 01:39:14,380,382
400,9/1/2015 01:30:37,9/1/2015 01:36:58,335,432
401,9/1/2015 01:30:59,9/1/2015 01:34:07,521,477
402,9/1/2015 01:31:07,9/1/2015 01:39:12,380,382
403,9/1/2015 01:31:12,9/1/2015 01:48:56,505,386
404,9/1/2015 01:31:29,9/1/2015 01:34:55,416,399
405,9/1/2015 01:31:30,9/1/2015 01:39:20,521,434
406,9/1/2015 01:32:02,9/1/2015 01:34:57,472,536
407,9/1/2015 01:32:40,9/1/2015 01:57:32,225,137
408,9/1/2015 01:32:53,9/1/2015 01:42:27,402,483
409,9/1/2015 01:33:03,9/1/2015 01:59:43,518,431
410,9/1/2015 01:34:00,9/1/2015 01:44:13,300,229
411,9/1/2015 01:34:17,9/1/2015 01:54:16,265,362
412,9/1/2015 01:34:21,9/1/2015 01:46:01,349,349
413,9/1/2015 01:34:36,9/1/2015 01:50:12,284,376
414,9/1/2015 01:35:09,9/1/2015 01:49:45,304,327
415,9/1/2015 01:35:26,9/1/2015 01:50:02,304,327
416,9/1/2015 01:35:40,9/1/2015 01:45:01,312,393
417,9/1/2015 01:37:00,9/1/2015 01:44:56,151,383
418,9/1/2015 01:38:30,9/1/2015 01:39:55,447,449
419,9/1/2015 01:38:40,9/1/2015 01:52:44,150,315
420,9/1/2015 01:38:52,9/1/2015 01:58:12,212,295
421,9/1/2015 01:39:03,9/1/2015 01:42:00,364,344
422,9/1/2015 01:39:57,9/1/2015 01:47:32,307,445
423,9/1/2015 01:40:02,9/1/2015 01:46:59,348,284
424,9/1/2015 01:40:10,9/1/2015 01:47:46,434,503
425,9/1/2015 01:40:31,9/1/2015 02:00:44,293,320
426,9/1/2015 01:41:58,9/1/2015 01:43:45,250,151
427,9/1/2015 01:42:35,9/1/2015 01:56:34,410,297
428,9/1/2015 01:42:55,9/1/2015 01:48:39,423,478
429,9/1/2015 01:43:48,9/1/2015 01:54:57,312,306
430,9/1/2015 01:43:52,9/1/2015 01:51:48,533,507
